,id,season,season_type,away_team_abbr,home_team_abbr,api_feed_link
0,706821,2022,S,New York Mets,St. Louis Cardinals,/api/v1.1/game/706821/feed/live
0,706814,2022,S,Boston Red Sox,Tampa Bay Rays,/api/v1.1/game/706814/feed/live
0,706853,2022,S,Toronto Blue Jays,Pittsburgh Pirates,/api/v1.1/game/706853/feed/live
0,707024,2022,S,Philadelphia Phillies,Baltimore Orioles,/api/v1.1/game/707024/feed/live
0,706901,2022,S,Atlanta Braves,Minnesota Twins,/api/v1.1/game/706901/feed/live
0,706956,2022,S,Miami Marlins,Houston Astros,/api/v1.1/game/706956/feed/live
0,706961,2022,S,New York Yankees,Detroit Tigers,/api/v1.1/game/706961/feed/live
0,706837,2022,S,Texas Rangers,San Francisco Giants,/api/v1.1/game/706837/feed/live
0,706998,2022,S,Oakland Athletics,Chicago White Sox,/api/v1.1/game/706998/feed/live
0,707046,2022,S,Chicago Cubs,Arizona Diamondbacks,/api/v1.1/game/707046/feed/live
0,706936,2022,S,Cincinnati Reds,Los Angeles Angels,/api/v1.1/game/706936/feed/live
0,706910,2022,S,Chicago Cubs,Milwaukee Brewers,/api/v1.1/game/706910/feed/live
0,706982,2022,S,Arizona Diamondbacks,Cleveland Guardians,/api/v1.1/game/706982/feed/live
0,706844,2022,S,Kansas City Royals,San Diego Padres,/api/v1.1/game/706844/feed/live
0,706970,2022,S,Seattle Mariners,Colorado Rockies,/api/v1.1/game/706970/feed/live
0,706962,2022,S,Baltimore Orioles,Detroit Tigers,/api/v1.1/game/706962/feed/live
0,707015,2022,S,Pittsburgh Pirates,Boston Red Sox,/api/v1.1/game/707015/feed/live
0,706811,2022,S,Minnesota Twins,Tampa Bay Rays,/api/v1.1/game/706811/feed/live
0,706885,2022,S,Atlanta Braves,New York Yankees,/api/v1.1/game/706885/feed/live
0,706794,2022,S,Philadelphia Phillies,Toronto Blue Jays,/api/v1.1/game/706794/feed/live
0,707004,2022,S,Los Angeles Angels,Chicago Cubs,/api/v1.1/game/707004/feed/live
0,706927,2022,S,San Francisco Giants,Los Angeles Dodgers,/api/v1.1/game/706927/feed/live
0,706875,2022,S,Colorado Rockies,Oakland Athletics,/api/v1.1/game/706875/feed/live
0,706990,2022,S,San Diego Padres,Cincinnati Reds,/api/v1.1/game/706990/feed/live
0,706804,2022,S,Cleveland Guardians,Texas Rangers,/api/v1.1/game/706804/feed/live
0,707042,2022,S,Chicago White Sox,Arizona Diamondbacks,/api/v1.1/game/707042/feed/live
0,706828,2022,S,Milwaukee Brewers,Seattle Mariners,/api/v1.1/game/706828/feed/live
0,706953,2022,S,St. Louis Cardinals,Houston Astros,/api/v1.1/game/706953/feed/live
0,706920,2022,S,Washington Nationals,Miami Marlins,/api/v1.1/game/706920/feed/live
0,706785,2022,S,Houston Astros,Washington Nationals,/api/v1.1/game/706785/feed/live
0,706854,2022,S,Tampa Bay Rays,Pittsburgh Pirates,/api/v1.1/game/706854/feed/live
0,706900,2022,S,Baltimore Orioles,Minnesota Twins,/api/v1.1/game/706900/feed/live
0,706865,2022,S,Detroit Tigers,Philadelphia Phillies,/api/v1.1/game/706865/feed/live
0,707034,2022,S,Boston Red Sox,Atlanta Braves,/api/v1.1/game/707034/feed/live
0,706797,2022,S,New York Yankees,Toronto Blue Jays,/api/v1.1/game/706797/feed/live
